,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
109,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2006,,MIA_logo_old.png
110,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2006,,LV_logo.webp
111,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2006,,LA_logo.webp
112,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2006,,KC_logo.webp
113,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2006,,JAX_logo_old.png
114,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2006,,IND_logo.webp
115,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2006,,HOU_logo.webp
116,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2006,,TEN_logo.webp
117,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2006,,GB_logo.webp
118,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2006,,DET_logo.webp
119,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2006,,DEN_logo.webp
120,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2006,,DAL_logo.webp
121,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2006,,CLE_logo.webp
122,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2006,,CIN_logo.webp
123,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2006,,CHI_logo.webp
124,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2006,,CAR_logo.webp
125,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2006,,BUF_logo.webp
126,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2006,,BAL_logo.webp
127,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2006,,ATL_logo.webp
128,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2007,,WAS_logo_old.png
129,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2007,,TB_logo_old.png
130,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2007,,SEA_logo_old.png
131,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2007,,SF_logo.webp
132,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2007,,LAC_logo.webp
133,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2007,,PIT_logo.webp
134,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2007,,ARI_logo.webp
135,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2007,,PHI_logo.webp
136,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2007,,NYJ_logo_old.png
137,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2007,,NYG_logo.webp
138,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2007,,NO_logo.webp
139,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2007,,NE_logo.webp
140,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2007,,MIN_logo.webp
141,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2007,,MIA_logo_old.png
142,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2007,,LV_logo.webp
